source,success,method_used,articles_count,methods_tried,elapsed_seconds,url
TechCrunch,True,rss,18,rss,3.7,https://techcrunch.com
The Verge,True,rss,6,rss,5.7,https://www.theverge.com
Ars Technica,True,rss,6,rss,14.1,https://arstechnica.com
Wired,True,rss,5,rss,4.3,https://www.wired.com
Engadget,True,rss,14,rss,30.3,https://www.engadget.com
CNET,True,rss,19,rss,79.9,https://www.cnet.com
ZDNet,True,rss,13,rss,30.2,https://www.zdnet.com
Mashable,True,rss,11,rss,17.9,https://mashable.com
VentureBeat,True,rss,7,rss,1.7,https://venturebeat.com
The Next Web,False,,0,rss → api → html → homepage,22.5,https://thenextweb.com
TechRadar,True,rss,29,rss,17.4,https://www.techradar.com
Tom's Hardware,True,rss,31,rss,41.1,https://www.tomshardware.com
AnandTech,False,,0,rss → api → html → homepage,83.4,https://www.anandtech.com
Gizmodo,True,rss,11,rss,7.8,https://gizmodo.com
Digital Trends,True,rss,18,rss,18.2,https://www.digitaltrends.com
MIT Technology Review,True,rss,6,rss,2.5,https://www.technologyreview.com
IEEE Spectrum,True,rss,18,rss,9.4,https://spectrum.ieee.org
AI Business,True,html,4,rss → api → html,22.5,https://aibusiness.com
Analytics India Magazine,True,rss,14,rss,4.1,https://analyticsindiamag.com
The AI Blog,True,homepage,19,rss → api → html → homepage,29.8,https://blogs.microsoft.com/ai
Google AI Blog,False,,0,rss → api → html → homepage,95.4,https://ai.googleblog.com
OpenAI Blog,False,,0,rss → api → html → homepage,10.5,https://openai.com/blog
Synced Review,False,,0,rss → api → html → homepage,12.2,https://syncedreview.com
Marktechpost,False,,0,rss → api → html → homepage,71.7,https://www.marktechpost.com
The Decoder,True,rss,10,rss,8.5,https://the-decoder.com
Bloomberg Technology,False,,0,rss → api → html → homepage,9.5,https://www.bloomberg.com/technology
Reuters Technology,False,,0,rss → api → html → homepage,7.6,https://www.reuters.com/technology
CNBC Tech,True,homepage,22,rss → api → html → homepage,104.1,https://www.cnbc.com/technology
Financial Times Tech,True,homepage,5,rss → api → html → homepage,41.6,https://www.ft.com/technology
Wall Street Journal Tech,False,,0,rss → api → html → homepage,25.1,https://www.wsj.com/tech
Fortune Tech,True,rss,6,rss,3.1,https://fortune.com/section/tech
Forbes Tech,True,rss,11,rss,47.9,https://www.forbes.com/technology
Business Insider Tech,True,rss,8,rss,13.6,https://www.businessinsider.com/tech
Yahoo Finance Tech,True,rss,16,rss,23.1,https://finance.yahoo.com/tech
Seeking Alpha Tech,True,rss,6,rss,8.7,https://seekingalpha.com/market-news/technology
BBC Technology,False,,0,rss → api → html → homepage,29.1,https://www.bbc.com/news/technology
CNN Tech,True,html,2,rss → api → html,50.5,https://www.cnn.com/business/tech
The Guardian Tech,True,rss,7,rss,12.6,https://www.theguardian.com/technology
NY Times Tech,True,rss,5,rss,26.0,https://www.nytimes.com/section/technology
Washington Post Tech,True,homepage,5,rss → api → html → homepage,86.0,https://www.washingtonpost.com/technology
NPR Tech,True,rss,2,rss,30.7,https://www.npr.org/sections/technology
AP Tech,True,homepage,26,rss → api → html → homepage,55.8,https://apnews.com/technology
Axios Tech,False,,0,rss → api → html → homepage,8.9,https://www.axios.com/technology
The Atlantic Tech,True,rss,7,rss,62.5,https://www.theatlantic.com/technology
Politico Tech,False,,0,rss → api → html → homepage,5.8,https://www.politico.com/technology
SemiAnalysis,False,,0,rss → api → html → homepage,48.5,https://www.semianalysis.com
EE Times,True,rss,10,rss,6.1,https://www.eetimes.com
Semiconductor Engineering,True,rss,9,rss,14.4,https://semiengineering.com
CleanTechnica,True,rss,20,rss,13.2,https://cleantechnica.com
Electrek,True,rss,20,rss,9.0,https://electrek.co
